chr	start	end
chr21	5000000	5200000
chr21	5200000	6000000
chr21	6000000	6000000
chr21	6000000	7200000
chr21	7200000	9550000
chr21	9550000	14200000
chr21	14200000	14800000
chr21	14800000	15500000
chr21	15500000	15850000
chr21	15850000	16350000
chr21	16350000	17300000
chr21	17300000	17650000
chr21	17650000	18000000
chr21	18000000	18300000
chr21	18300000	18500000
chr21	18500000	18950000
chr21	18950000	19450000
chr21	19450000	20450000
chr21	20450000	21000000
chr21	21000000	22800000
chr21	22800000	23500000
chr21	23500000	24850000
chr21	24850000	25400000
chr21	25400000	25850000
chr21	25850000	26200000
chr21	26200000	26850000
chr21	26850000	27700000
chr21	27700000	28050000
chr21	28050000	28350000
chr21	28350000	29000000
chr21	29000000	29450000
chr21	29450000	29900000
chr21	29900000	30300000
chr21	30300000	30450000
chr21	30450000	31100000
chr21	31100000	31650000
chr21	31650000	32300000
chr21	32300000	32650000
chr21	32650000	32800000
chr21	32800000	33200000
chr21	33200000	33500000
chr21	33500000	33900000
chr21	33900000	34450000
chr21	34450000	34700000
chr21	34700000	36050000
chr21	36050000	36400000
chr21	36400000	36950000
chr21	36950000	37100000
chr21	37100000	37700000
chr21	37700000	38150000
chr21	38150000	38400000
chr21	38400000	38700000
chr21	38700000	39150000
chr21	39150000	39450000
chr21	39450000	39800000
chr21	39800000	40150000
chr21	40150000	40400000
chr21	40400000	40850000
chr21	40850000	41150000
chr21	41150000	41550000
chr21	41550000	41850000
chr21	41850000	42150000
chr21	42150000	42550000
chr21	42550000	42850000
chr21	42850000	43150000
chr21	43150000	43650000
chr21	43650000	44150000
chr21	44150000	44250000
chr21	44250000	44800000
chr21	44800000	45150000
chr21	45150000	45250000
chr21	45250000	45550000
chr21	45550000	45950000
chr21	45950000	46300000
chr21	46300000	46700000
